[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 546573239, 'fix_type': 3, 'lat': 462880626, 'lon': 213602974, 'alt': 111060, 'eph': 178, 'epv': 236, 'vel': 13, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1780, 'v_acc': 2360, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 547101387, 'fix_type': 3, 'lat': 462880627, 'lon': 213602973, 'alt': 111090, 'eph': 178, 'epv': 237, 'vel': 8, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1780, 'v_acc': 2370, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 547630207, 'fix_type': 3, 'lat': 462880625, 'lon': 213602971, 'alt': 111130, 'eph': 178, 'epv': 237, 'vel': 4, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1780, 'v_acc': 2370, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 548159387, 'fix_type': 3, 'lat': 462880637, 'lon': 213602978, 'alt': 111230, 'eph': 179, 'epv': 237, 'vel': 14, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1790, 'v_acc': 2370, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 548688605, 'fix_type': 3, 'lat': 462880636, 'lon': 213602977, 'alt': 111320, 'eph': 179, 'epv': 237, 'vel': 22, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1790, 'v_acc': 2370, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 549217475, 'fix_type': 3, 'lat': 462880629, 'lon': 213602989, 'alt': 111340, 'eph': 179, 'epv': 238, 'vel': 37, 'cog': 24420, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1790, 'v_acc': 2380, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 549746490, 'fix_type': 3, 'lat': 462880635, 'lon': 213603015, 'alt': 111520, 'eph': 173, 'epv': 233, 'vel': 35, 'cog': 20850, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1730, 'v_acc': 2330, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 550276503, 'fix_type': 3, 'lat': 462880624, 'lon': 213603017, 'alt': 111600, 'eph': 172, 'epv': 231, 'vel': 31, 'cog': 18140, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1720, 'v_acc': 2310, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 550805926, 'fix_type': 3, 'lat': 462880612, 'lon': 213603026, 'alt': 111830, 'eph': 171, 'epv': 230, 'vel': 36, 'cog': 14950, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1710, 'v_acc': 2300, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 551333706, 'fix_type': 3, 'lat': 462880598, 'lon': 213602984, 'alt': 112110, 'eph': 171, 'epv': 228, 'vel': 46, 'cog': 19770, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1710, 'v_acc': 2280, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 551864646, 'fix_type': 3, 'lat': 462880592, 'lon': 213602978, 'alt': 112120, 'eph': 171, 'epv': 228, 'vel': 6, 'cog': 19770, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1710, 'v_acc': 2280, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 552393968, 'fix_type': 3, 'lat': 462880590, 'lon': 213602978, 'alt': 112310, 'eph': 171, 'epv': 227, 'vel': 21, 'cog': 19770, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1710, 'v_acc': 2270, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 552923393, 'fix_type': 3, 'lat': 462880584, 'lon': 213602969, 'alt': 112440, 'eph': 169, 'epv': 226, 'vel': 8, 'cog': 19770, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1690, 'v_acc': 2260, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 553452821, 'fix_type': 3, 'lat': 462880568, 'lon': 213602946, 'alt': 112660, 'eph': 168, 'epv': 224, 'vel': 13, 'cog': 19770, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1680, 'v_acc': 2240, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 553982538, 'fix_type': 3, 'lat': 462880557, 'lon': 213602950, 'alt': 112540, 'eph': 166, 'epv': 222, 'vel': 9, 'cog': 19770, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1660, 'v_acc': 2220, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
